Net generation from natural gas for United States Lower 48 (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390105&sdid=EBA.US48-ALL.NG.NG.H
16:52:15 GMT+0200 (czas środkowoeuropejski letni)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.US48-ALL.NG.NG.H megawatthours
03/8/2022 04H,167161
03/8/2022 03H,179368
03/8/2022 02H,186563
03/8/2022 01H,184451
03/8/2022 00H,171339
03/7/2022 23H,163703
03/7/2022 22H,156262
03/7/2022 21H,153152
03/7/2022 20H,150433
03/7/2022 19H,148330
03/7/2022 18H,145032
03/7/2022 17H,143324
03/7/2022 16H,142109
03/7/2022 15H,144303
03/7/2022 14H,142134
03/7/2022 13H,136618
03/7/2022 12H,125419
03/7/2022 11H,109047
03/7/2022 10H,98863
03/7/2022 09H,95409
03/7/2022 08H,95569
03/7/2022 07H,99182
03/7/2022 06H,104553
03/7/2022 05H,113788
03/7/2022 04H,123482
03/7/2022 03H,130457
03/7/2022 02H,137467
03/7/2022 01H,136305
03/7/2022 00H,130868
03/6/2022 23H,123702
03/6/2022 22H,116940
03/6/2022 21H,112814
03/6/2022 20H,109473
03/6/2022 19H,106993
03/6/2022 18H,105915
03/6/2022 17H,103983
03/6/2022 16H,101514
03/6/2022 15H,99251
03/6/2022 14H,99144
03/6/2022 13H,95609
03/6/2022 12H,92605
03/6/2022 11H,89501
03/6/2022 10H,86834
03/6/2022 09H,87511
03/6/2022 08H,90022
03/6/2022 07H,94179
03/6/2022 06H,101931
03/6/2022 05H,120282
03/6/2022 04H,120331
03/6/2022 03H,128062
03/6/2022 02H,132388
03/6/2022 01H,131588
03/6/2022 00H,126166
03/5/2022 23H,120266
03/5/2022 22H,112294
03/5/2022 21H,107771
03/5/2022 20H,104574
03/5/2022 19H,102881
03/5/2022 18H,103143
03/5/2022 17H,103727
03/5/2022 16H,108076
03/5/2022 15H,112538
03/5/2022 14H,113085
03/5/2022 13H,112415
03/5/2022 12H,109771
03/5/2022 11H,105599
03/5/2022 10H,103429
03/5/2022 09H,103200
03/5/2022 08H,105050
03/5/2022 07H,108414
03/5/2022 06H,111733
03/5/2022 05H,122562
03/5/2022 04H,128942
03/5/2022 03H,137279
03/5/2022 02H,142505
03/5/2022 01H,143433
03/5/2022 00H,141756
03/4/2022 23H,137438
03/4/2022 22H,130184
03/4/2022 21H,123226
03/4/2022 20H,121398
03/4/2022 19H,125020
03/4/2022 18H,125740
03/4/2022 17H,129571
03/4/2022 16H,133670
03/4/2022 15H,136775
03/4/2022 14H,141181
03/4/2022 13H,144149
03/4/2022 12H,139882
03/4/2022 11H,125367
03/4/2022 10H,118095
03/4/2022 09H,114071
03/4/2022 08H,113438
