Net generation from hydro for United States Lower 48 (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390105&sdid=EBA.US48-ALL.NG.WAT.H
16:50:53 GMT+0200 (czas środkowoeuropejski letni)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.US48-ALL.NG.WAT.H megawatthours
03/18/2022 12H,39557
03/18/2022 11H,33152
03/18/2022 10H,27279
03/18/2022 09H,25726
03/18/2022 08H,26296
03/18/2022 07H,27713
03/18/2022 06H,30960
03/18/2022 05H,33839
03/18/2022 04H,37544
03/18/2022 03H,40926
03/18/2022 02H,43312
03/18/2022 01H,44084
03/18/2022 00H,41556
03/17/2022 23H,38317
03/17/2022 22H,34389
03/17/2022 21H,33410
03/17/2022 20H,33238
03/17/2022 19H,33180
03/17/2022 18H,34336
03/17/2022 17H,35474
03/17/2022 16H,38526
03/17/2022 15H,41500
03/17/2022 14H,42684
03/17/2022 13H,41954
03/17/2022 12H,40155
03/17/2022 11H,35098
03/17/2022 10H,30440
03/17/2022 09H,28262
03/17/2022 08H,27744
03/17/2022 07H,29922
03/17/2022 06H,31860
03/17/2022 05H,34239
03/17/2022 04H,36731
03/17/2022 03H,39513
03/17/2022 02H,41100
03/17/2022 01H,38963
03/17/2022 00H,36462
03/16/2022 23H,34455
03/16/2022 22H,31903
03/16/2022 21H,30867
03/16/2022 20H,29975
03/16/2022 19H,29533
03/16/2022 18H,29841
03/16/2022 17H,31882
03/16/2022 16H,34834
03/16/2022 15H,37866
03/16/2022 14H,39914
03/16/2022 13H,39692
03/16/2022 12H,39740
03/16/2022 11H,34082
03/16/2022 10H,28875
03/16/2022 09H,24855
03/16/2022 08H,25290
03/16/2022 07H,26954
03/16/2022 06H,28989
03/16/2022 05H,31465
03/16/2022 04H,34870
03/16/2022 03H,37516
03/16/2022 02H,39248
03/16/2022 01H,39544
03/16/2022 00H,35392
03/15/2022 23H,33624
03/15/2022 22H,30497
03/15/2022 21H,28908
03/15/2022 20H,28469
03/15/2022 19H,29140
03/15/2022 18H,31153
03/15/2022 17H,33752
03/15/2022 16H,36932
03/15/2022 15H,40091
03/15/2022 14H,41939
03/15/2022 13H,42885
03/15/2022 12H,41398
03/15/2022 11H,36755
03/15/2022 10H,33410
03/15/2022 09H,29000
03/15/2022 08H,29024
03/15/2022 07H,30730
03/15/2022 06H,32875
03/15/2022 05H,34429
03/15/2022 04H,36512
03/15/2022 03H,39671
03/15/2022 02H,41950
03/15/2022 01H,40371
03/15/2022 00H,35915
03/14/2022 23H,34347
03/14/2022 22H,29828
03/14/2022 21H,29200
03/14/2022 20H,29122
03/14/2022 19H,30069
03/14/2022 18H,31718
03/14/2022 17H,32777
03/14/2022 16H,34934
03/14/2022 15H,39018
03/14/2022 14H,42032
03/14/2022 13H,44780
03/14/2022 12H,45036
03/14/2022 11H,38721
03/14/2022 10H,34139
03/14/2022 09H,30006
03/14/2022 08H,28430
03/14/2022 07H,29701
03/14/2022 06H,31290
03/14/2022 05H,34192
03/14/2022 04H,34264
03/14/2022 03H,36492
03/14/2022 02H,37512
03/14/2022 01H,34634
03/14/2022 00H,29889
03/13/2022 23H,26756
03/13/2022 22H,23824
03/13/2022 21H,23554
03/13/2022 20H,23963
03/13/2022 19H,25502
03/13/2022 18H,26625
03/13/2022 17H,28949
03/13/2022 16H,32719
03/13/2022 15H,35136
03/13/2022 14H,37045
03/13/2022 13H,36342
03/13/2022 12H,35236
03/13/2022 11H,33097
03/13/2022 10H,31424
03/13/2022 09H,31669
03/13/2022 08H,32431
03/13/2022 07H,36492
03/13/2022 06H,37533
03/13/2022 05H,39558
03/13/2022 04H,42995
03/13/2022 03H,46412
03/13/2022 02H,48690
03/13/2022 01H,45936
03/13/2022 00H,40795
03/12/2022 23H,37072
03/12/2022 22H,32512
03/12/2022 21H,31334
03/12/2022 20H,32547
03/12/2022 19H,33777
03/12/2022 18H,36724
03/12/2022 17H,38242
03/12/2022 16H,38868
03/12/2022 15H,39776
03/12/2022 14H,38177
03/12/2022 13H,35721
03/12/2022 12H,31518
03/12/2022 11H,29720
03/12/2022 10H,29303
03/12/2022 09H,29269
03/12/2022 08H,29620
03/12/2022 07H,31797
03/12/2022 06H,34352
03/12/2022 05H,37571
03/12/2022 04H,40404
03/12/2022 03H,42660
03/12/2022 02H,42554
03/12/2022 01H,40586
03/12/2022 00H,36328
03/11/2022 23H,32877
03/11/2022 22H,30718
03/11/2022 21H,30049
03/11/2022 20H,30380
03/11/2022 19H,31533
03/11/2022 18H,33784
03/11/2022 17H,36184
03/11/2022 16H,38647
03/11/2022 15H,41213
03/11/2022 14H,44670
03/11/2022 13H,44377
03/11/2022 12H,41919
03/11/2022 11H,36135
03/11/2022 10H,30409
03/11/2022 09H,30212
03/11/2022 08H,31296
03/11/2022 07H,32840
03/11/2022 06H,34065
03/11/2022 05H,37466
03/11/2022 04H,39708
03/11/2022 03H,42610
03/11/2022 02H,44682
03/11/2022 01H,42790
03/11/2022 00H,39752
03/10/2022 23H,36215
03/10/2022 22H,31879
03/10/2022 21H,31506
03/10/2022 20H,31459
03/10/2022 19H,32045
03/10/2022 18H,33836
03/10/2022 17H,36172
03/10/2022 16H,39034
03/10/2022 15H,42070
03/10/2022 14H,45527
03/10/2022 13H,45752
03/10/2022 12H,42097
03/10/2022 11H,34898
03/10/2022 10H,30205
03/10/2022 09H,29873
03/10/2022 08H,31297
03/10/2022 07H,33044
03/10/2022 06H,35143
03/10/2022 05H,36775
03/10/2022 04H,39680
03/10/2022 03H,43061
03/10/2022 02H,44255
03/10/2022 01H,42862
03/10/2022 00H,37454
03/9/2022 23H,34948
03/9/2022 22H,32539
03/9/2022 21H,30294
03/9/2022 20H,30224
03/9/2022 19H,31242
03/9/2022 18H,32721
03/9/2022 17H,36010
03/9/2022 16H,39624
03/9/2022 15H,43490
03/9/2022 14H,45176
03/9/2022 13H,42861
03/9/2022 12H,37879
03/9/2022 11H,31910
03/9/2022 10H,29148
03/9/2022 09H,28079
03/9/2022 08H,28080
03/9/2022 07H,30693
03/9/2022 06H,32481
03/9/2022 05H,34903
03/9/2022 04H,37792
03/9/2022 03H,41214
03/9/2022 02H,45529
03/9/2022 01H,46417
03/9/2022 00H,41057
03/8/2022 23H,36395
03/8/2022 22H,32080
03/8/2022 21H,29912
03/8/2022 20H,29266
03/8/2022 19H,29450
03/8/2022 18H,30294
03/8/2022 17H,32756
03/8/2022 16H,35679
03/8/2022 15H,37631
03/8/2022 14H,39239
03/8/2022 13H,37744
03/8/2022 12H,34843
03/8/2022 11H,28128
03/8/2022 10H,24900
03/8/2022 09H,25388
03/8/2022 08H,25741
03/8/2022 07H,28012
03/8/2022 06H,31021
03/8/2022 05H,34774
03/8/2022 04H,38425
03/8/2022 03H,42975
03/8/2022 02H,45549
03/8/2022 01H,45190
03/8/2022 00H,41187
03/7/2022 23H,36983
03/7/2022 22H,34373
03/7/2022 21H,31095
03/7/2022 20H,30272
03/7/2022 19H,30475
03/7/2022 18H,31267
03/7/2022 17H,33209
03/7/2022 16H,34732
03/7/2022 15H,35737
03/7/2022 14H,35147
03/7/2022 13H,32358
03/7/2022 12H,28861
03/7/2022 11H,26541
03/7/2022 10H,25597
03/7/2022 09H,26269
03/7/2022 08H,27057
03/7/2022 07H,29285
03/7/2022 06H,32422
03/7/2022 05H,36065
03/7/2022 04H,38461
03/7/2022 03H,42478
03/7/2022 02H,43220
03/7/2022 01H,41259
03/7/2022 00H,37949
03/6/2022 23H,34365
03/6/2022 22H,30604
03/6/2022 21H,28881
03/6/2022 20H,28639
03/6/2022 19H,29071
03/6/2022 18H,29363
03/6/2022 17H,30370
03/6/2022 16H,31251
03/6/2022 15H,33508
03/6/2022 14H,30967
03/6/2022 13H,28517
03/6/2022 12H,27041
03/6/2022 11H,26276
03/6/2022 10H,25867
03/6/2022 09H,25928
03/6/2022 08H,27387
03/6/2022 07H,28659
03/6/2022 06H,31443
03/6/2022 05H,35662
03/6/2022 04H,37866
03/6/2022 03H,40297
03/6/2022 02H,42108
03/6/2022 01H,38055
03/6/2022 00H,35569
03/5/2022 23H,33248
03/5/2022 22H,31878
03/5/2022 21H,31181
03/5/2022 20H,30550
03/5/2022 19H,31275
03/5/2022 18H,32384
03/5/2022 17H,33350
03/5/2022 16H,34505
03/5/2022 15H,37233
03/5/2022 14H,36453
03/5/2022 13H,34858
03/5/2022 12H,32357
03/5/2022 11H,29090
03/5/2022 10H,28024
03/5/2022 09H,28386
03/5/2022 08H,29550
03/5/2022 07H,30861
03/5/2022 06H,34755
03/5/2022 05H,37207
03/5/2022 04H,39401
03/5/2022 03H,41766
03/5/2022 02H,42758
03/5/2022 01H,41395
03/5/2022 00H,37383
03/4/2022 23H,35679
03/4/2022 22H,33419
03/4/2022 21H,32494
03/4/2022 20H,31597
03/4/2022 19H,33300
03/4/2022 18H,34569
03/4/2022 17H,36530
03/4/2022 16H,38952
03/4/2022 15H,41824
03/4/2022 14H,43080
03/4/2022 13H,43670
03/4/2022 12H,39623
03/4/2022 11H,31065
03/4/2022 10H,27607
03/4/2022 09H,26177
