Net generation from solar for United States Lower 48 (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390105&sdid=EBA.US48-ALL.NG.SUN.H
17:17:50 GMT+0200 (czas środkowoeuropejski letni)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.US48-ALL.NG.SUN.H megawatthours
03/23/2022 16H,32489
03/23/2022 15H,22700
03/23/2022 14H,7777
03/23/2022 13H,2176
03/23/2022 12H,599
03/23/2022 11H,87
03/23/2022 10H,85
03/23/2022 09H,90
03/23/2022 08H,78
03/23/2022 07H,107
03/23/2022 06H,147
03/23/2022 05H,214
03/23/2022 04H,249
03/23/2022 03H,302
03/23/2022 02H,1093
03/23/2022 01H,9416
03/23/2022 00H,17559
03/22/2022 23H,23267
03/22/2022 22H,28651
03/22/2022 21H,32377
03/22/2022 20H,34840
03/22/2022 19H,35553
03/22/2022 18H,35969
03/22/2022 17H,35852
03/22/2022 16H,32870
03/22/2022 15H,22985
03/22/2022 14H,10679
03/22/2022 13H,4893
03/22/2022 12H,1162
03/22/2022 11H,102
03/22/2022 10H,71
03/22/2022 09H,71
03/22/2022 08H,82
03/22/2022 07H,112
03/22/2022 06H,176
03/22/2022 05H,301
03/22/2022 04H,303
03/22/2022 03H,346
03/22/2022 02H,966
03/22/2022 01H,8472
03/22/2022 00H,17464
03/21/2022 23H,24565
03/21/2022 22H,34164
03/21/2022 21H,39329
03/21/2022 20H,40992
03/21/2022 19H,42021
03/21/2022 18H,41568
03/21/2022 17H,39590
03/21/2022 16H,37088
03/21/2022 15H,27129
03/21/2022 14H,14727
03/21/2022 13H,6956
03/21/2022 12H,1687
03/21/2022 11H,101
03/21/2022 10H,75
03/21/2022 09H,79
03/21/2022 08H,77
03/21/2022 07H,49
03/21/2022 06H,53
03/21/2022 05H,78
03/21/2022 04H,162
03/21/2022 03H,195
03/21/2022 02H,585
03/21/2022 01H,6868
03/21/2022 00H,13767
03/20/2022 23H,21763
03/20/2022 22H,27407
03/20/2022 21H,29529
03/20/2022 20H,30228
03/20/2022 19H,31415
03/20/2022 18H,33135
03/20/2022 17H,33916
03/20/2022 16H,33274
03/20/2022 15H,26506
03/20/2022 14H,14346
03/20/2022 13H,5950
03/20/2022 12H,1156
03/20/2022 11H,57
03/20/2022 10H,77
03/20/2022 09H,75
03/20/2022 08H,79
03/20/2022 07H,63
03/20/2022 06H,65
03/20/2022 05H,117
03/20/2022 04H,133
03/20/2022 03H,146
03/20/2022 02H,447
03/20/2022 01H,4810
03/20/2022 00H,14879
03/19/2022 23H,22819
03/19/2022 22H,28312
03/19/2022 21H,32872
03/19/2022 20H,33273
03/19/2022 19H,33070
03/19/2022 18H,33292
03/19/2022 17H,30840
03/19/2022 16H,26985
03/19/2022 15H,20907
03/19/2022 14H,8352
03/19/2022 13H,2684
03/19/2022 12H,692
03/19/2022 11H,-3
03/19/2022 10H,-9
03/19/2022 09H,1
03/19/2022 08H,-7
03/19/2022 07H,18
03/19/2022 06H,82
03/19/2022 05H,163
03/19/2022 04H,173
03/19/2022 03H,185
03/19/2022 02H,703
03/19/2022 01H,8288
03/19/2022 00H,20964
03/18/2022 23H,27993
03/18/2022 22H,32144
03/18/2022 21H,34730
03/18/2022 20H,37010
03/18/2022 19H,39274
03/18/2022 18H,39944
03/18/2022 17H,38893
03/18/2022 16H,35364
03/18/2022 15H,25199
03/18/2022 14H,10613
03/18/2022 13H,4232
03/18/2022 12H,977
03/18/2022 11H,11
03/18/2022 10H,8
03/18/2022 09H,8
03/18/2022 08H,10
03/18/2022 07H,35
03/18/2022 06H,97
03/18/2022 05H,165
03/18/2022 04H,193
03/18/2022 03H,232
03/18/2022 02H,559
03/18/2022 01H,5563
03/18/2022 00H,14379
03/17/2022 23H,22843
03/17/2022 22H,29980
03/17/2022 21H,35080
03/17/2022 20H,35233
03/17/2022 19H,35763
03/17/2022 18H,34659
03/17/2022 17H,35182
03/17/2022 16H,30956
03/17/2022 15H,22448
03/17/2022 14H,8950
03/17/2022 13H,2513
03/17/2022 12H,367
03/17/2022 11H,52
03/17/2022 10H,50
03/17/2022 09H,47
03/17/2022 08H,39
03/17/2022 07H,37
03/17/2022 06H,30
03/17/2022 05H,139
03/17/2022 04H,217
03/17/2022 03H,355
03/17/2022 02H,848
03/17/2022 01H,8260
03/17/2022 00H,19424
03/16/2022 23H,26147
03/16/2022 22H,31976
03/16/2022 21H,36294
03/16/2022 20H,36001
03/16/2022 19H,36582
03/16/2022 18H,35862
03/16/2022 17H,35797
03/16/2022 16H,31434
03/16/2022 15H,19380
03/16/2022 14H,7745
03/16/2022 13H,2374
03/16/2022 12H,527
03/16/2022 11H,28
03/16/2022 10H,28
03/16/2022 09H,29
03/16/2022 08H,31
03/16/2022 07H,31
03/16/2022 06H,64
03/16/2022 05H,92
03/16/2022 04H,154
03/16/2022 03H,164
03/16/2022 02H,2500
03/16/2022 01H,5836
03/16/2022 00H,18324
03/15/2022 23H,23775
03/15/2022 22H,27610
03/15/2022 21H,31372
03/15/2022 20H,35101
03/15/2022 19H,36930
03/15/2022 18H,37740
03/15/2022 17H,38129
03/15/2022 16H,36503
03/15/2022 15H,25143
03/15/2022 14H,10444
03/15/2022 13H,4234
03/15/2022 12H,1179
03/15/2022 11H,51
03/15/2022 10H,42
03/15/2022 09H,41
03/15/2022 08H,45
03/15/2022 07H,52
03/15/2022 06H,85
03/15/2022 05H,124
03/15/2022 04H,211
03/15/2022 03H,247
03/15/2022 02H,698
03/15/2022 01H,7937
03/15/2022 00H,18434
03/14/2022 23H,24751
03/14/2022 22H,32680
03/14/2022 21H,36954
03/14/2022 20H,39610
03/14/2022 19H,40334
03/14/2022 18H,41618
03/14/2022 17H,40935
03/14/2022 16H,37783
03/14/2022 15H,26360
03/14/2022 14H,13597
03/14/2022 13H,5508
03/14/2022 12H,1177
03/14/2022 11H,59
03/14/2022 10H,62
03/14/2022 09H,85
03/14/2022 08H,89
03/14/2022 07H,86
03/14/2022 06H,131
03/14/2022 05H,223
03/14/2022 04H,226
03/14/2022 03H,255
03/14/2022 02H,626
03/14/2022 01H,6533
