Net generation from other for United States Lower 48 (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390105&sdid=EBA.US48-ALL.NG.OTH.H
17:14:21 GMT+0200 (czas środkowoeuropejski letni)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.US48-ALL.NG.OTH.H megawatthours
03/18/2022 09H,5658
03/18/2022 08H,5565
03/18/2022 07H,5971
03/18/2022 06H,6566
03/18/2022 05H,7058
03/18/2022 04H,7461
03/18/2022 03H,7441
03/18/2022 02H,8267
03/18/2022 01H,8519
03/18/2022 00H,7408
03/17/2022 23H,7273
03/17/2022 22H,7451
03/17/2022 21H,7379
03/17/2022 20H,7334
03/17/2022 19H,7427
03/17/2022 18H,6882
03/17/2022 17H,7206
03/17/2022 16H,7244
03/17/2022 15H,7430
03/17/2022 14H,7351
03/17/2022 13H,7746
03/17/2022 12H,7837
03/17/2022 11H,7309
03/17/2022 10H,6361
03/17/2022 09H,6942
03/17/2022 08H,6853
03/17/2022 07H,7041
03/17/2022 06H,7109
03/17/2022 05H,7608
03/17/2022 04H,8337
03/17/2022 03H,8101
03/17/2022 02H,8844
03/17/2022 01H,7831
03/17/2022 00H,7209
03/16/2022 23H,7074
03/16/2022 22H,7527
03/16/2022 21H,7545
03/16/2022 20H,7668
03/16/2022 19H,7158
03/16/2022 18H,7180
03/16/2022 17H,7482
03/16/2022 16H,8054
03/16/2022 15H,7935
03/16/2022 14H,7726
03/16/2022 13H,7594
03/16/2022 12H,6715
03/16/2022 11H,6515
03/16/2022 10H,6321
03/16/2022 09H,6197
03/16/2022 08H,6202
03/16/2022 07H,6211
03/16/2022 06H,6599
03/16/2022 05H,6873
03/16/2022 04H,7771
03/16/2022 03H,7925
03/16/2022 02H,7719
03/16/2022 01H,8451
03/16/2022 00H,7288
03/15/2022 23H,7146
03/15/2022 22H,7322
03/15/2022 21H,7004
03/15/2022 20H,6910
03/15/2022 19H,6974
03/15/2022 18H,7058
03/15/2022 17H,6953
03/15/2022 16H,7036
03/15/2022 15H,7219
03/15/2022 14H,7581
03/15/2022 13H,7393
03/15/2022 12H,7096
03/15/2022 11H,6528
03/15/2022 10H,6366
03/15/2022 09H,6326
03/15/2022 08H,6394
03/15/2022 07H,6608
03/15/2022 06H,6381
03/15/2022 05H,6821
03/15/2022 04H,7794
03/15/2022 03H,8123
03/15/2022 02H,8084
03/15/2022 01H,7872
03/15/2022 00H,7362
03/14/2022 23H,7358
03/14/2022 22H,6754
03/14/2022 21H,6856
03/14/2022 20H,6964
03/14/2022 19H,6912
03/14/2022 18H,7050
03/14/2022 17H,7179
03/14/2022 16H,7515
03/14/2022 15H,7614
03/14/2022 14H,8124
03/14/2022 13H,7886
03/14/2022 12H,7498
03/14/2022 11H,7153
03/14/2022 10H,6962
03/14/2022 09H,7027
03/14/2022 08H,6994
03/14/2022 07H,6988
03/14/2022 06H,7742
03/14/2022 05H,7555
03/14/2022 04H,8509
03/14/2022 03H,8441
03/14/2022 02H,8895
03/14/2022 01H,8464
03/14/2022 00H,7704
03/13/2022 23H,7320
03/13/2022 22H,7233
03/13/2022 21H,7054
03/13/2022 20H,7066
03/13/2022 19H,7168
03/13/2022 18H,7359
03/13/2022 17H,7747
03/13/2022 16H,7701
03/13/2022 15H,7512
03/13/2022 14H,7653
03/13/2022 13H,7405
03/13/2022 12H,7293
03/13/2022 11H,7097
03/13/2022 10H,6961
03/13/2022 09H,6966
03/13/2022 08H,6964
03/13/2022 07H,7086
03/13/2022 06H,7484
03/13/2022 05H,7550
03/13/2022 04H,7946
03/13/2022 03H,7994
03/13/2022 02H,8522
03/13/2022 01H,8024
03/13/2022 00H,7493
03/12/2022 23H,7129
03/12/2022 22H,7331
03/12/2022 21H,6558
03/12/2022 20H,6326
03/12/2022 19H,6373
03/12/2022 18H,6555
03/12/2022 17H,7027
03/12/2022 16H,6682
03/12/2022 15H,6261
03/12/2022 14H,6306
03/12/2022 13H,5950
03/12/2022 12H,5961
03/12/2022 11H,5879
03/12/2022 10H,5837
03/12/2022 09H,5800
03/12/2022 08H,5856
03/12/2022 07H,6101
03/12/2022 06H,6386
03/12/2022 05H,6561
03/12/2022 04H,6750
03/12/2022 03H,6747
03/12/2022 02H,7017
03/12/2022 01H,6421
03/12/2022 00H,6039
03/11/2022 23H,6252
03/11/2022 22H,6088
03/11/2022 21H,6153
03/11/2022 20H,6297
03/11/2022 19H,6199
03/11/2022 18H,6215
03/11/2022 17H,6271
03/11/2022 16H,6293
03/11/2022 15H,6455
03/11/2022 14H,7236
03/11/2022 13H,6816
03/11/2022 12H,6653
03/11/2022 11H,6622
03/11/2022 10H,6150
03/11/2022 09H,5947
03/11/2022 08H,6030
03/11/2022 07H,6042
03/11/2022 06H,5998
03/11/2022 05H,6461
