Net generation from coal for United States Lower 48 (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390105&sdid=EBA.US48-ALL.NG.COL.H
16:49:57 GMT+0200 (czas środkowoeuropejski letni)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.US48-ALL.NG.COL.H megawatthours
04/6/2022 20H,74752
04/6/2022 19H,75168
04/6/2022 18H,75279
04/6/2022 17H,75567
04/6/2022 16H,77002
04/6/2022 15H,77962
04/6/2022 14H,78773
04/6/2022 13H,79142
04/6/2022 12H,75686
04/6/2022 11H,71890
04/6/2022 10H,68291
04/6/2022 09H,66390
04/6/2022 08H,65742
04/6/2022 07H,66683
04/6/2022 06H,69938
04/6/2022 05H,73564
04/6/2022 04H,77556
04/6/2022 03H,78890
04/6/2022 02H,79833
04/6/2022 01H,79431
04/6/2022 00H,80311
04/5/2022 23H,79705
04/5/2022 22H,79405
04/5/2022 21H,78440
04/5/2022 20H,78853
04/5/2022 19H,80527
04/5/2022 18H,81026
04/5/2022 17H,80461
04/5/2022 16H,80781
04/5/2022 15H,80988
04/5/2022 14H,80736
04/5/2022 13H,79674
04/5/2022 12H,77589
04/5/2022 11H,74725
04/5/2022 10H,72384
04/5/2022 09H,72008
04/5/2022 08H,72567
04/5/2022 07H,73847
04/5/2022 06H,75493
04/5/2022 05H,78310
04/5/2022 04H,79683
04/5/2022 03H,84587
04/5/2022 02H,86435
04/5/2022 01H,87358
04/5/2022 00H,87223
04/4/2022 23H,86692
04/4/2022 22H,85229
04/4/2022 21H,85733
04/4/2022 20H,85039
04/4/2022 19H,85301
04/4/2022 18H,83033
04/4/2022 17H,83260
04/4/2022 16H,85200
04/4/2022 15H,86840
04/4/2022 14H,86419
04/4/2022 13H,85482
04/4/2022 12H,83839
04/4/2022 11H,80105
04/4/2022 10H,76374
04/4/2022 09H,72198
04/4/2022 08H,69199
04/4/2022 07H,68395
04/4/2022 06H,69584
04/4/2022 05H,73184
04/4/2022 04H,79840
04/4/2022 03H,81002
04/4/2022 02H,82670
04/4/2022 01H,82745
04/4/2022 00H,80331
04/3/2022 23H,76377
04/3/2022 22H,74493
04/3/2022 21H,72089
04/3/2022 20H,70829
04/3/2022 19H,70242
04/3/2022 18H,69969
04/3/2022 17H,70924
04/3/2022 16H,72398
04/3/2022 15H,73117
04/3/2022 14H,72840
04/3/2022 13H,72799
04/3/2022 12H,71482
04/3/2022 11H,70205
04/3/2022 10H,68411
04/3/2022 09H,67485
04/3/2022 08H,67236
04/3/2022 07H,67791
04/3/2022 06H,70845
04/3/2022 05H,76553
04/3/2022 04H,80968
04/3/2022 03H,84321
04/3/2022 02H,85481
04/3/2022 01H,83545
04/3/2022 00H,80838
04/2/2022 23H,78439
04/2/2022 22H,77858
04/2/2022 21H,76905
04/2/2022 20H,76698
04/2/2022 19H,77952
04/2/2022 18H,79893
04/2/2022 17H,82019
04/2/2022 16H,83623
04/2/2022 15H,85376
04/2/2022 14H,85408
04/2/2022 13H,84634
04/2/2022 12H,84353
04/2/2022 11H,83023
04/2/2022 10H,80936
04/2/2022 09H,79437
04/2/2022 08H,80398
04/2/2022 07H,80372
04/2/2022 06H,80532
04/2/2022 05H,82441
04/2/2022 04H,81577
04/2/2022 03H,86172
04/2/2022 02H,85685
04/2/2022 01H,81276
04/2/2022 00H,78021
04/1/2022 23H,77286
04/1/2022 22H,76914
04/1/2022 21H,77253
04/1/2022 20H,77495
04/1/2022 19H,77967
04/1/2022 18H,79298
04/1/2022 17H,79948
04/1/2022 16H,81304
04/1/2022 15H,83504
04/1/2022 14H,84423
04/1/2022 13H,85184
04/1/2022 12H,84831
04/1/2022 11H,80508
04/1/2022 10H,76252
04/1/2022 09H,74755
04/1/2022 08H,74920
04/1/2022 07H,76082
04/1/2022 06H,77240
04/1/2022 05H,79662
04/1/2022 04H,82596
04/1/2022 03H,86461
04/1/2022 02H,88328
04/1/2022 01H,87600
04/1/2022 00H,86647
03/31/2022 23H,86111
03/31/2022 22H,85798
03/31/2022 21H,85534
03/31/2022 20H,84989
03/31/2022 19H,84778
03/31/2022 18H,83450
03/31/2022 17H,82799
03/31/2022 16H,82587
03/31/2022 15H,82828
03/31/2022 14H,81098
03/31/2022 13H,80816
03/31/2022 12H,78609
03/31/2022 11H,73168
